Company,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,Touchscreen,IPS_panel,Cpu_brand,HDD,SSD,Gpu_brand,PRICE
Dell,Gaming,17.3,2560x1440,16,Windows,4.36,0,0,Intel Core i7,1000,512,Nvidia,146946.24
Lenovo,Netbook,12.5,1920x1080,16,Windows,1.3,1,1,Intel Core i7,0,512,Intel,87912.0
Acer,Notebook,15.6,1366x768,4,Windows,2.4,0,0,Intel Core i3,500,0,Intel,23976.0
Lenovo,Ultrabook,12.5,1920x1080,8,Windows,1.3,1,1,Intel Core i7,0,256,Intel,91294.7472
Dell,Notebook,15.6,1920x1080,8,Windows,1.9,0,0,Intel Core i5,0,128,Intel,50349.6
Lenovo,Notebook,11.6,1366x768,2,Windows,1.15,0,0,Other Intel Processor,0,0,Intel,16221.096
Lenovo,Notebook,15.6,1920x1080,4,Windows,1.85,0,0,Intel Core i3,1000,0,Intel,23922.72
Asus,Gaming,17.3,1920x1080,32,Windows,3.58,0,1,Intel Core i7,0,512,Nvidia,68145.12
HP,Notebook,15.6,1366x768,4,Others/No OS/Linux,1.86,0,0,Intel Core i3,500,0,Intel,19441.872
Asus,Ultrabook,14.0,1920x1080,16,Windows,1.1,0,0,Intel Core i7,0,512,Intel,101232.0
Toshiba,Notebook,13.3,1920x1080,8,Windows,1.05,0,0,Intel Core i5,0,256,Intel,78588.0
HP,Notebook,15.6,1366x768,8,Windows,2.04,0,0,AMD Processor,2000,0,AMD,33513.119999999995
Asus,Gaming,15.6,1920x1080,16,Windows,2.2,0,0,Intel Core i7,1000,256,Nvidia,130482.72
Dell,Gaming,17.3,3840x2160,32,Windows,4.36,0,0,Intel Core i7,1000,1000,Nvidia,194972.832
Dell,Gaming,15.6,3840x2160,16,Windows,2.72,1,1,Intel Core i7,1000,128,Nvidia,58554.72
Acer,Netbook,11.6,1366x768,4,Windows,1.4,0,0,Other Intel Processor,0,128,Intel,23176.8
HP,Ultrabook,12.5,1920x1080,8,Windows,1.26,0,0,Intel Core i7,0,256,Intel,71128.8
Lenovo,Workstation,15.6,3840x2160,16,Windows,2.3,0,1,Intel Core i7,0,512,Nvidia,130269.6
Lenovo,Ultrabook,12.5,2560x1440,8,Windows,0.99,1,1,Other Intel Processor,0,512,Intel,74538.72
Lenovo,Gaming,15.6,1920x1080,8,Windows,2.5,0,1,Intel Core i7,1000,128,Nvidia,63349.92
Lenovo,Notebook,15.6,1920x1080,4,Windows,2.2,0,0,AMD Processor,0,128,AMD,21258.72
HP,Notebook,17.3,1920x1080,8,Windows,2.5,0,0,Intel Core i5,0,256,Intel,49443.84
Acer,Gaming,17.3,1920x1080,16,Windows,4.2,0,1,Intel Core i7,1000,256,Nvidia,138474.72
HP,Ultrabook,12.5,1366x768,8,Windows,1.26,0,0,Intel Core i5,0,256,Intel,100965.6
HP,Notebook,17.3,1920x1080,6,Windows,2.71,0,1,Intel Core i5,2000,0,AMD,37242.72
Dell,Notebook,15.6,1920x1080,8,Windows,1.9,0,0,Intel Core i5,0,256,Intel,59513.2272
Dell,Notebook,17.3,1920x1080,8,Windows,2.8,0,0,Intel Core i7,1000,128,AMD,60845.76
HP,Notebook,15.6,1366x768,4,Windows,1.88,0,0,Intel Core i5,500,0,Intel,49656.96
HP,Notebook,15.6,1366x768,4,Windows,1.96,0,0,Other Intel Processor,1000,0,Intel,26640.0
HP,Ultrabook,12.5,1920x1080,8,Windows,1.26,0,0,Intel Core i5,0,256,Intel,63882.72
Asus,Gaming,17.3,1920x1080,32,Windows,3.8,0,1,Intel Core i7,0,512,Nvidia,149130.72
Asus,Notebook,14.0,1920x1080,8,Windows,2.0,0,0,Intel Core i7,1000,256,Intel,71075.52
Dell,Notebook,15.6,1920x1080,8,Windows,2.02,0,0,Intel Core i7,2000,128,AMD,51729.55199999999
Lenovo,Notebook,15.6,1920x1080,4,Others/No OS/Linux,2.2,0,0,Intel Core i5,1000,0,Nvidia,26586.72
HP,Notebook,17.3,1600x900,8,Windows,2.54,0,0,Intel Core i3,1000,0,Intel,26053.92
Lenovo,Notebook,15.6,1920x1080,8,Windows,1.95,0,1,Intel Core i5,0,256,Intel,74059.2
Mediacom,2 in 1 Convertible,11.6,1920x1080,4,Windows,1.16,1,1,Other Intel Processor,0,32,Intel,15930.72
Lenovo,Notebook,14.0,1920x1080,8,Windows,1.75,0,1,Intel Core i5,0,256,AMD,59461.5456
Lenovo,Notebook,13.3,1920x1080,4,Windows,1.44,0,0,Intel Core i5,0,128,Intel,46939.68
Apple,Ultrabook,12.0,2304x1440,8,Mac,0.92,0,1,Other Intel Processor,0,0,Intel,68145.12
Lenovo,Ultrabook,14.0,2560x1440,8,Windows,1.17,0,1,Intel Core i7,0,512,Intel,89864.1792
HP,Notebook,13.3,1920x1080,4,Windows,1.32,0,1,Intel Core i5,0,256,Intel,37242.72
Toshiba,Notebook,14.0,1920x1080,4,Windows,1.47,0,1,Intel Core i5,0,128,Intel,58874.4
Dell,Notebook,15.6,1366x768,8,Windows,2.36,0,0,Intel Core i7,1000,0,AMD,39906.72
Dell,Gaming,17.3,1920x1080,16,Windows,4.42,0,1,Intel Core i7,1000,256,Nvidia,130873.7952
Lenovo,Notebook,14.0,1920x1080,8,Windows,1.65,0,0,Intel Core i5,0,256,Intel,71661.59999999999
Toshiba,Notebook,15.6,1366x768,8,Windows,2.2,0,0,Intel Core i7,500,0,Nvidia,43263.36
HP,Notebook,15.6,1366x768,8,Windows,2.1,0,1,Intel Core i7,1000,0,Intel,48058.56
MSI,Gaming,14.0,1920x1080,16,Windows,1.6,0,1,Intel Core i7,1000,256,Nvidia,100752.48
Lenovo,Notebook,14.0,1366x768,4,Windows,1.44,0,0,Other Intel Processor,0,0,Intel,15557.76
Dell,Gaming,17.3,1920x1080,16,Windows,4.42,0,1,Intel Core i7,1000,256,Nvidia,143802.72
Dell,2 in 1 Convertible,12.5,1920x1080,8,Windows,1.34,1,0,Intel Core i5,0,256,Intel,88977.59999999999
Microsoft,Ultrabook,13.5,2256x1504,8,Windows,1.252,1,0,Intel Core i7,0,256,Intel,99519.048
Lenovo,Notebook,15.6,1920x1080,4,Others/No OS/Linux,2.2,0,0,Intel Core i3,1000,0,Intel,24988.32
Dell,Notebook,15.6,1920x1080,8,Windows,2.06,0,0,Intel Core i5,1000,0,Intel,50882.4
HP,Notebook,15.6,1920x1080,8,Windows,2.2,0,1,Intel Core i5,1000,128,Nvidia,58554.72
HP,2 in 1 Convertible,13.3,1366x768,8,Windows,1.58,1,1,Intel Core i5,0,256,Intel,44574.048
Dell,Gaming,17.3,1920x1080,32,Windows,4.42,0,1,Intel Core i7,1000,1000,Nvidia,191211.264
HP,Notebook,14.0,1920x1080,8,Windows,1.43,0,0,Intel Core i5,0,256,Intel,80612.64
Lenovo,Ultrabook,14.0,2560x1440,24,Windows,1.32,0,0,Intel Core i7,0,512,Intel,126912.96
Dell,Notebook,15.6,1920x1080,8,Others/No OS/Linux,2.2,0,0,Intel Core i7,0,256,AMD,39907.2528
HP,Notebook,17.3,1600x900,8,Windows,2.63,0,0,Intel Core i5,1000,0,Nvidia,48484.8
MSI,Gaming,14.0,1920x1080,16,Windows,1.7,0,0,Intel Core i7,1000,256,Nvidia,94252.32
MSI,Gaming,17.3,1920x1080,16,Windows,3.78,0,1,Intel Core i7,1000,256,Nvidia,82351.6992
Toshiba,Ultrabook,12.5,1920x1080,8,Windows,1.1,1,0,Intel Core i7,0,512,Intel,95371.2
Dell,Ultrabook,13.3,3200x1800,8,Others/No OS/Linux,1.23,1,0,Intel Core i5,0,256,Intel,58554.72
Lenovo,Notebook,17.3,1600x900,4,Windows,2.79,0,0,Intel Core i5,1000,0,Nvidia,31381.92
Lenovo,Notebook,14.0,1920x1080,4,Windows,1.7,0,1,Intel Core i3,0,128,Intel,31914.72
Lenovo,Notebook,15.6,1920x1080,8,Others/No OS/Linux,2.2,0,0,Intel Core i7,1000,0,Nvidia,37775.52
HP,Netbook,12.5,1920x1080,8,Windows,0.97,0,0,Other Intel Processor,0,512,Intel,101658.24
Dell,Gaming,15.6,1920x1080,8,Windows,2.62,0,1,Intel Core i7,1000,128,Nvidia,61751.52
HP,Notebook,15.6,1920x1080,8,Windows,2.1,0,0,Intel Core i5,0,256,Nvidia,46833.12
Chuwi,Notebook,15.6,1920x1080,4,Windows,1.89,0,0,Other Intel Processor,0,0,Intel,13053.0672
Asus,Notebook,17.3,1920x1080,8,Others/No OS/Linux,2.69,0,0,Intel Core i7,1000,128,Nvidia,47365.92
Lenovo,2 in 1 Convertible,14.0,2560x1440,8,Windows,1.27,1,1,Intel Core i7,0,256,Intel,124621.92
Lenovo,Ultrabook,14.0,1920x1080,8,Windows,1.32,0,1,Intel Core i5,0,256,Intel,95850.72
Lenovo,Notebook,15.6,1366x768,4,Others/No OS/Linux,1.9,0,0,Other Intel Processor,1000,0,Intel,13445.7408
